texto,etiqueta
¿Te acuerdas de la estrategia de marketing que platicamos el martes?,Memoria episódica
¿Por qué pusiste esa condición en el if?,Memoria de trabajo
Dame la fórmula química del ácido sulfúrico.,Memoria semántica
Básate en el presupuesto que calculamos hace quince días.,Memoria episódica
"Ayer me sugeriste tres películas, ¿cuál era la de suspenso?",Memoria episódica
Siento que le falta fuerza al inicio de tu respuesta.,Memoria de trabajo
¿Dónde nos quedamos en la sesión de lluvia de ideas de ayer?,Memoria episódica
Recuerda siempre que me gusta el café amargo y sin azúcar.,Memoria semántica
¿Te acuerdas de la lista de compras que armamos el sábado?,Memoria episódica
"La semana pasada organizamos mi calendario, ¿cómo quedó el viernes?",Memoria episódica
¿Qué es una red neuronal convolucional y para qué sirve?,Memoria semántica
"Me gusta esta opción, desarrollemos más la idea.",Memoria de trabajo
¿La cifra que diste arriba incluye el IVA?,Memoria de trabajo
Ponle un título llamativo a este párrafo.,Memoria de trabajo
Explícame el concepto que acabas de introducir arriba.,Memoria de trabajo
"La semana pasada me recomendaste un libro, ¿cuál era el título?",Memoria episódica
Recuerda que soy vegetariano y no como nada de carne.,Memoria semántica
Retoma el argumento que usamos hace dos semanas para el ensayo.,Memoria episódica
Retomemos el proyecto de la app que estábamos diseñando el lunes.,Memoria episódica
Recuerda que mi enfoque principal de estudio es la inteligencia artificial.,Memoria semántica
No entiendo la conexión entre estos dos últimos enunciados.,Memoria de trabajo
Recuerda que tengo un perro y un gato como mascotas.,Memoria semántica
Olvida lo que te acabo de pedir en el mensaje anterior.,Memoria de trabajo
¿Cuáles son las notas musicales básicas?,Memoria semántica
¿Cuál es el océano más grande del planeta?,Memoria semántica
¿Cuál es el elemento más abundante en el universo?,Memoria semántica
Ten en cuenta para siempre que mi lenguaje de programación favorito es Python.,Memoria semántica
¿Qué es un vector en álgebra lineal?,Memoria semántica
Me perdí en la última parte de tu explicación.,Memoria de trabajo
"Pon el fragmento anterior en cursiva, porfa.",Memoria de trabajo
Pásalo a limpio.,Memoria de trabajo
Hazlo más corto.,Memoria de trabajo
Revisa los comentarios que me hiciste sobre mi ensayo la semana pasada.,Memoria episódica
Súmale dos puntos al resultado que me diste.,Memoria de trabajo
Agrégale un toque de humor a este cierre.,Memoria de trabajo
Explícame la diferencia entre una base de datos SQL y una NoSQL.,Memoria semántica
Recupera las notas de nuestra sesión del martes anterior.,Memoria episódica
Dale más énfasis a la conclusión de arriba.,Memoria de trabajo
Eso mismo pero en inglés.,Memoria de trabajo
Corrige la ortografía de lo que acabas de escribir.,Memoria de trabajo
¿Cuál es el idioma más hablado del mundo?,Memoria semántica
Usa los mismos criterios de selección que acordamos el mes pasado.,Memoria episódica
¿Te acuerdas del chiste que me contaste el otro día?,Memoria episódica
Creo que te equivocaste en el último cálculo.,Memoria de trabajo
¿A qué te refieres con ese término que usaste?,Memoria de trabajo
¿Te acuerdas del problema matemático que resolvimos el mes pasado?,Memoria episódica
¿Cuál es el valor aproximado de la constante de Planck?,Memoria semántica
Describe los pasos del ciclo del agua.,Memoria semántica
¿Qué opinaste de la idea que te di el mes pasado?,Memoria episódica
¿Quién escribió Cien años de soledad?,Memoria semántica
Usa el formato de reporte que aprobamos la semana pasada.,Memoria episódica
¿Cuáles son las leyes de la termodinámica?,Memoria semántica
¿Cuál fue la conclusión del debate que tuvimos el otro día?,Memoria episódica
No me quedó claro el último punto que mencionaste.,Memoria de trabajo
Recuerda que mi nivel de inglés es intermedio alto.,Memoria semántica
"Ayer me diste una receta de pasta, ¿qué ingredientes llevaba?",Memoria episódica
¿Me lo repites?,Memoria de trabajo
